kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1393 : 8400000 50401920 0 0 0 0 0 0 0 
_1.ptx 1398 : 896 5376 0 0 0 0 0 0 0 
_1.ptx 1400 : 8400896 50405920 0 0 0 0 0 0 0 
_1.ptx 1401 : 8400896 67274560 0 0 0 0 0 0 0 
_1.ptx 1402 : 8400896 6990 0 0 0 0 0 0 269 
_1.ptx 1404 : 8399731 50400370 0 0 0 0 0 0 0 
_1.ptx 1405 : 8399731 1702030981 0 0 0 0 0 0 0 
_1.ptx 1406 : 8399731 426982053 21824 0 0 262500 262500 0 0 
_1.ptx 1010 : 1000448 6037248 0 0 0 0 0 0 0 
_1.ptx 1409 : 8400896 50407840 0 0 0 0 0 0 0 
_1.ptx 1011 : 1000448 6039392 0 0 0 0 0 0 0 
_1.ptx 1012 : 1000448 11122656 0 0 0 0 0 0 0 
_1.ptx 1013 : 1000448 6011840 0 0 0 0 0 0 0 
_1.ptx 1014 : 1000448 11033440 0 0 0 0 0 0 0 
_1.ptx 1015 : 1000448 34379136 128 0 0 0 0 0 0 
_1.ptx 1016 : 1000448 8036192 0 0 0 0 0 0 0 
_1.ptx 1017 : 1000448 2688 0 0 0 0 0 0 0 
_1.ptx 1019 : 1000000 7052544 0 0 0 0 0 0 0 
_1.ptx 1020 : 1000000 10220992 0 0 0 0 0 0 0 
_1.ptx 1021 : 1000000 6032192 0 0 0 0 0 0 0 
_1.ptx 1022 : 1000000 29367200 0 0 0 0 0 0 0 
_1.ptx 1023 : 1000000 11034528 0 0 0 0 0 0 0 
_1.ptx 1024 : 1000000 47011552 4000000 0 0 31250 31250 0 0 
_1.ptx 1025 : 1000000 6015936 0 0 0 0 0 0 0 
_1.ptx 1026 : 1000000 39989472 0 0 0 0 0 0 0 
_1.ptx 1027 : 1000000 11048256 0 0 0 0 0 0 0 
_1.ptx 1028 : 1000000 42646208 4000000 0 0 31250 31250 0 0 
_1.ptx 1029 : 1000000 6020448 0 0 0 0 0 0 0 
_1.ptx 1030 : 1000000 36048544 0 0 0 0 0 0 0 
_1.ptx 1031 : 1000000 11032832 0 0 0 0 0 0 0 
_1.ptx 1032 : 1000000 43034624 4000000 0 0 31250 31250 0 0 
_1.ptx 1232 : 8400896 50415232 0 0 0 0 0 0 0 
_1.ptx 1233 : 8400896 50415616 0 0 0 0 0 0 0 
_1.ptx 1234 : 8400896 107807072 0 0 0 0 0 0 0 
_1.ptx 1035 : 1000448 6023008 0 0 0 0 0 0 0 
_1.ptx 1235 : 8400896 482860448 0 0 0 0 0 0 0 
_1.ptx 1236 : 8400896 109625952 0 0 0 0 0 0 0 
_1.ptx 1237 : 8400896 50602624 0 0 0 0 0 0 0 
_1.ptx 1238 : 8400896 92492064 0 0 0 0 0 0 0 
_1.ptx 1239 : 8400896 426454592 0 0 0 0 0 0 0 
_1.ptx 1240 : 8400896 92457376 0 0 0 0 0 0 0 
_1.ptx 1241 : 8400896 84093952 0 0 0 0 0 0 0 
_1.ptx 1242 : 8400896 1286535520 0 0 0 0 0 0 0 
_1.ptx 1243 : 8400896 1300568128 0 0 0 0 0 0 0 
_1.ptx 1244 : 8400896 119096128 0 0 0 0 0 0 0 
_1.ptx 1245 : 8400896 67253856 0 0 0 0 0 0 0 
_1.ptx 1246 : 8400896 5376 0 0 0 0 0 0 0 
_1.ptx 1247 : 8400000 50406624 0 0 0 0 0 0 0 
_1.ptx 1248 : 8400000 67243872 0 0 0 0 0 0 0 
_1.ptx 1249 : 8400000 0 0 0 0 0 0 0 0 
_1.ptx 1250 : 8400000 58846496 0 0 0 0 0 0 0 
_1.ptx 1251 : 8400000 92444768 0 0 0 0 0 0 0 
_1.ptx 1252 : 8400000 96945056 0 0 0 0 0 0 0 
_1.ptx 1253 : 8400000 100121920 0 0 0 0 0 0 0 
_1.ptx 1254 : 8400000 1083143360 128 0 0 0 0 0 0 
_1.ptx 1255 : 8400000 1085270688 0 0 0 0 0 0 0 
_1.ptx 1256 : 8400000 50416512 0 0 0 0 0 0 0 
_1.ptx 1257 : 8400000 58902432 0 0 0 0 0 0 0 
_1.ptx 1260 : 8400000 58946208 0 0 0 0 0 0 0 
